Mx, My, Mz, Ax, Ay, Az
-12.112, -19.992, -48.625, 0.051, 1.001, -9.478
-11.913, -19.454, -48.136, 0.182, 1.089, -9.449
-13.108, -18.738, -49.114, 0.151, 1.152, -9.423
-11.316, -20.350, -48.625, 0.105, 1.106, -9.442
-12.510, -17.484, -48.951, 0.056, 0.998, -9.432
-11.913, -19.454, -48.136, 0.059, 0.952, -9.466
-11.117, -19.454, -48.788, 0.102, 1.007, -9.462
-13.904, -11.573, -51.071, -1.828, 1.195, -9.795
-13.108, -4.050, -52.049, -3.801, 0.466, -8.684
-10.122, 18.340, -50.582, -6.686, 0.474, -6.746
-10.122, 30.879, -45.691, -9.323, -0.430, -4.523
-2.159, 40.909, -33.953, -9.592, -0.509, -2.139
-14.899, 46.999, -25.149, -9.922, 0.791, 0.016
-7.932, 49.686, -15.530, -9.769, 0.970, 2.448
-9.923, 50.761, -9.661, -9.690, 0.552, 2.867
-7.932, 50.761, -11.618, -9.592, 0.591, 2.822
-10.719, 50.403, -9.335, -9.769, 0.801, 2.616
-8.728, 50.761, -10.639, -9.661, 0.764, 2.257
-9.525, 50.761, -11.618, -9.816, 0.790, 2.126
-10.122, 50.582, -11.454, -9.787, 1.208, 1.512
-5.145, 43.238, -23.682, -9.404, 0.272, -2.448
5.007, 33.028, -35.583, -8.553, -1.402, -5.130
6.201, 24.788, -41.126, -7.949, -0.479, -6.651
10.183, 13.325, -45.691, -5.580, -2.232, -7.792
7.197, 4.548, -47.158, -3.097, -1.578, -8.629
3.016, -13.185, -47.973, -0.536, -1.285, -10.030
1.623, -16.589, -47.158, 0.339, -1.275, -9.873
-0.766, -23.037, -47.810, 1.263, -1.176, -9.206
0.030, -22.679, -46.832, 0.846, -0.990, -9.379
-1.164, -21.604, -46.180, 0.782, -1.268, -9.235
0.030, -21.246, -46.832, 0.729, -1.141, -9.339
1.225, -21.962, -46.506, 0.643, -1.000, -9.452
-0.567, -20.350, -47.321, 0.630, -1.344, -9.298
-1.761, -16.409, -49.603, -0.253, -1.325, -9.371
1.026, -9.961, -50.908, -1.977, -0.870, -9.072
-2.955, 3.294, -53.516, -4.736, -0.645, -8.839
-3.553, 8.130, -53.353, -5.876, -0.091, -7.170
-5.742, 23.355, -46.669, -7.392, -0.655, -6.208
-7.136, 36.431, -38.680, -9.620, 0.472, -0.716
-6.738, 44.671, -27.268, -9.890, 0.309, 0.657
-8.330, 48.611, -20.747, -9.262, 0.357, 3.441
-13.307, 52.015, -7.868, -9.340, 0.449, 2.627
-11.316, 51.298, -8.520, -9.620, 0.673, 3.410
-11.117, 51.836, -8.683, -9.474, 0.784, 3.226
-10.122, 52.731, -8.194, -9.505, 0.595, 2.998
-10.719, 51.836, -9.661, -9.447, 0.727, 2.946
-12.311, 51.836, -9.335, -9.613, 0.654, 2.920
-11.714, 50.224, -13.085, -9.952, 0.773, 1.277
-8.330, 47.179, -24.660, -9.528, 0.455, -1.541
-10.122, 38.043, -36.561, -9.209, 0.042, -3.407
-7.733, 33.744, -40.800, -8.232, -0.845, -5.652
-0.169, 14.758, -49.277, -5.663, -1.329, -7.828
-1.562, 2.398, -50.745, -2.655, -1.106, -9.107
-2.358, -15.156, -48.788, -0.128, -0.666, -9.522
-3.354, -22.141, -46.017, 1.104, 0.092, -9.622
-4.747, -21.246, -46.506, 0.478, -0.814, -9.515
-3.951, -18.380, -48.462, 0.413, -0.262, -9.570
-5.145, -19.096, -48.462, 0.183, -0.666, -9.401
-4.349, -18.021, -48.462, 0.096, -0.450, -9.611
-6.340, -17.663, -48.136, -0.168, -0.218, -9.431
-6.140, -11.752, -50.255, -1.963, -0.657, -9.655
-3.354, -3.513, -51.886, -3.985, -0.812, -8.258
-5.941, 16.011, -50.418, -6.012, -0.375, -7.342
-7.932, 21.027, -49.440, -7.189, -0.340, -5.646
-8.927, 35.894, -38.191, -9.290, 0.110, -3.520
-6.738, 42.163, -31.507, -9.581, -0.266, -2.154
-6.140, 42.342, -30.040, -9.703, 0.084, -1.058
-9.724, 49.149, -20.584, -9.863, 0.280, 0.983
-9.525, 49.686, -19.769, -9.774, 0.601, 2.758
-12.710, 51.119, -12.596, -9.726, 0.548, 2.322
-12.510, 50.582, -13.085, -9.623, 0.517, 2.212
-12.311, 50.403, -12.596, -9.672, 0.636, 2.164
-10.520, 45.925, -25.475, -10.130, 0.371, -0.691
-7.733, 39.476, -34.279, -8.853, -0.354, -3.402
-2.557, 24.430, -43.734, -6.674, -0.799, -6.568
-1.761, 14.041, -48.299, -4.888, -0.691, -8.634
-3.951, 5.622, -50.745, -2.319, -0.986, -8.554
-3.553, -10.498, -50.418, -0.957, -0.548, -9.653
-5.941, -16.947, -48.788, 0.450, -0.339, -8.989
-4.548, -20.708, -47.647, 0.590, -0.368, -9.844
-5.742, -21.425, -46.343, 1.033, -0.154, -9.397
-5.145, -22.320, -46.506, 0.675, -0.504, -9.432
-6.340, -21.246, -47.158, 0.286, -0.640, -9.780
